bowler,venue,batting_team,dream 11 score,Matches_Played,avg_drm11_score,Economy,strike_rate,bowlerOppositionWiseMatches_Played,bowlerOppositionWiseavg_drm11_score,bowlerOppositionWiseEconomy,bowlerOppositionWisestrike_rate,bowlerVenueMatches_Played,bowlerVenueavg_drm11_score,bowlerVenueEconomy,bowlerVenuestrike_rate,Venue_Matches_Played,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Venue_Avg_Bowler_Average,Venue_dream11
I Sharma,SuperSport Park,Royal Challengers Bangalore,12,101,25.92079207920792,7.420560747663552,26.75,15,25.0,7.230337078651686,32.36363636363637,1,12.0,7.714285714285714,29.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
JD Ryder,SuperSport Park,Kolkata Knight Riders,0,16,21.0625,7.394190871369295,21.90909090909091,1,0.0,6.25,25.0,1,0.0,6.25,25.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
JH Kallis,SuperSport Park,Kolkata Knight Riders,0,89,24.831460674157302,7.410783768760423,24.31081081081081,4,26.0,9.51063829787234,23.5,3,13.0,6.842105263157895,57.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
KP Appanna,SuperSport Park,Kolkata Knight Riders,0,13,24.23076923076923,7.513513513513513,20.181818181818183,3,8.333333333333334,8.863636363636363,44.0,1,0.0,10.0,7.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
M Kartik,SuperSport Park,Royal Challengers Bangalore,50,55,20.745454545454542,6.807106598984771,30.307692307692307,4,31.75,6.477272727272728,17.6,2,37.5,6.4,15.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
R Vinay Kumar,SuperSport Park,Kolkata Knight Riders,50,104,33.93269230769231,8.02836230558097,17.212598425196852,12,54.0,6.7388059701492535,11.166666666666666,2,25.0,7.935483870967742,15.5,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
AM Rahane,SuperSport Park,Kings XI Punjab,33,1,33.0,5.0,6.0,1,33.0,5.0,6.0,1,33.0,5.0,6.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
B Lee,SuperSport Park,Mumbai Indians,43,38,25.63157894736842,6.82532751091703,30.53333333333333,7,20.571428571428573,7.023529411764706,42.5,1,43.0,3.8,30.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
DJ Bravo,SuperSport Park,Kings XI Punjab,50,158,36.77848101265823,7.605582524271845,15.92270531400966,16,46.875,7.186046511627907,13.23076923076923,2,37.5,5.8125,10.666666666666666,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
DS Kulkarni,SuperSport Park,Kings XI Punjab,25,92,29.27173913043478,7.560767590618337,20.615384615384617,11,27.09090909090909,8.275862068965518,19.33333333333333,3,29.0,7.645161290322581,20.666666666666668,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
